54 (0.0465116)
2 0 (0.209302)
1 10 (0.0697674)
1 0 (0.255814)
10 0 (0.372093)
54 35 31 (0.0465116)
54 35 1 (0.0465116)
54 35 0 (0.0465116)
54 31 1 (0.0465116)
54 31 0 (0.0465116)
54 1 0 (0.0465116)
29 30 24 (0.0465116)
29 30 22 (0.0465116)
29 30 26 (0.0465116)
29 30 31 (0.0465116)
29 30 28 (0.0465116)
29 30 25 (0.0465116)
29 30 16 (0.0465116)
29 30 10 (0.0465116)
29 30 0 (0.0465116)
29 24 22 (0.0465116)
29 24 26 (0.0465116)
29 24 31 (0.0465116)
29 24 28 (0.0465116)
29 24 25 (0.0465116)
29 24 16 (0.0465116)
29 24 10 (0.0465116)
29 24 0 (0.0465116)
29 22 26 (0.0465116)
29 22 31 (0.0465116)
29 22 28 (0.0465116)
29 22 25 (0.0465116)
29 22 16 (0.0465116)
29 22 10 (0.0465116)
29 22 0 (0.0465116)
29 26 31 (0.0465116)
29 26 28 (0.0465116)
29 26 25 (0.0465116)
29 26 16 (0.0465116)
29 26 10 (0.0465116)
29 26 0 (0.0465116)
29 31 28 (0.0465116)
29 31 25 (0.0465116)
29 31 16 (0.0465116)
29 31 10 (0.0465116)
29 31 0 (0.0465116)
29 28 25 (0.0465116)
29 28 16 (0.0465116)
29 28 10 (0.0465116)
29 28 0 (0.0465116)
29 25 16 (0.0465116)
29 25 10 (0.0465116)
29 25 0 (0.0465116)
29 16 10 (0.0465116)
29 16 0 (0.0465116)
29 10 0 (0.0465116)
30 24 22 (0.0465116)
30 24 26 (0.0465116)
30 24 31 (0.0465116)
30 24 28 (0.0465116)
30 24 25 (0.0465116)
30 24 16 (0.0465116)
30 24 10 (0.0465116)
30 24 0 (0.0465116)
30 22 26 (0.0465116)
30 22 31 (0.0465116)
30 22 28 (0.0465116)
30 22 25 (0.0465116)
30 22 16 (0.0465116)
30 22 10 (0.0465116)
30 22 0 (0.0465116)
30 26 31 (0.0465116)
30 26 28 (0.0465116)
30 26 25 (0.0465116)
30 26 16 (0.0465116)
30 26 10 (0.0465116)
30 26 0 (0.0465116)
30 31 28 (0.0465116)
30 31 25 (0.0465116)
30 31 16 (0.0465116)
30 31 10 (0.0465116)
30 31 0 (0.0465116)
30 28 25 (0.0465116)
30 28 16 (0.0465116)
30 28 10 (0.0465116)
30 28 0 (0.0465116)
30 25 16 (0.0465116)
30 25 10 (0.0465116)
30 25 0 (0.0465116)
30 16 10 (0.0465116)
30 16 0 (0.0465116)
30 10 0 (0.0465116)
33 47 35 (0.0465116)
33 47 31 (0.0465116)
33 47 0 (0.0465116)
33 35 31 (0.0465116)
33 35 0 (0.0465116)
33 31 0 (0.0465116)
38 46 10 (0.0465116)
38 46 0 (0.0465116)
38 10 0 (0.0465116)
41 43 34 (0.0465116)
41 43 49 (0.0465116)
41 43 22 (0.0465116)
41 43 39 (0.0465116)
41 43 32 (0.0465116)
41 43 26 (0.0465116)
41 43 46 (0.0465116)
41 43 35 (0.0465116)
41 43 31 (0.0465116)
41 43 28 (0.0465116)
41 43 25 (0.0465116)
41 43 16 (0.0465116)
41 43 10 (0.0465116)
41 43 0 (0.0465116)
41 34 49 (0.0465116)
41 34 22 (0.0465116)
41 34 39 (0.0465116)
41 34 32 (0.0465116)
41 34 26 (0.0465116)
41 34 46 (0.0465116)
41 34 35 (0.0465116)
41 34 31 (0.0465116)
41 34 28 (0.0465116)
41 34 25 (0.0465116)
41 34 16 (0.0465116)
41 34 10 (0.0465116)
41 34 0 (0.0465116)
41 49 22 (0.0465116)
41 49 39 (0.0465116)
41 49 32 (0.0465116)
41 49 26 (0.0465116)
41 49 46 (0.0465116)
41 49 35 (0.0465116)
41 49 31 (0.0465116)
41 49 28 (0.0465116)
41 49 25 (0.0465116)
41 49 16 (0.0465116)
41 49 10 (0.0465116)
41 49 0 (0.0465116)
41 22 39 (0.0465116)
41 22 32 (0.0465116)
41 22 26 (0.0465116)
41 22 46 (0.0465116)
41 22 35 (0.0465116)
41 22 31 (0.0465116)
41 22 28 (0.0465116)
41 22 25 (0.0465116)
41 22 16 (0.0465116)
41 22 10 (0.0465116)
41 22 0 (0.0465116)
41 39 32 (0.0465116)
41 39 26 (0.0465116)
41 39 46 (0.0465116)
41 39 35 (0.0465116)
41 39 31 (0.0465116)
41 39 28 (0.0465116)
41 39 25 (0.0465116)
41 39 16 (0.0465116)
41 39 10 (0.0465116)
41 39 0 (0.0465116)
41 32 26 (0.0465116)
41 32 46 (0.0465116)
41 32 35 (0.0465116)
41 32 31 (0.0465116)
41 32 28 (0.0465116)
41 32 25 (0.0465116)
41 32 16 (0.0465116)
41 32 10 (0.0465116)
41 32 0 (0.0465116)
41 26 46 (0.0465116)
41 26 35 (0.0465116)
41 26 31 (0.0465116)
41 26 28 (0.0465116)
41 26 25 (0.0465116)
41 26 16 (0.0465116)
41 26 10 (0.0465116)
41 26 0 (0.0465116)
41 46 35 (0.0465116)
41 46 31 (0.0465116)
41 46 28 (0.0465116)
41 46 25 (0.0465116)
41 46 16 (0.0465116)
41 46 10 (0.0465116)
41 46 0 (0.0465116)
41 35 31 (0.0465116)
41 35 28 (0.0465116)
41 35 25 (0.0465116)
41 35 16 (0.0465116)
41 35 10 (0.0465116)
41 35 0 (0.0465116)
41 31 28 (0.0465116)
41 31 25 (0.0465116)
41 31 16 (0.0465116)
41 31 10 (0.0465116)
41 31 0 (0.0465116)
41 28 25 (0.0465116)
41 28 16 (0.0465116)
41 28 10 (0.0465116)
41 28 0 (0.0465116)
41 25 16 (0.0465116)
41 25 10 (0.0465116)
41 25 0 (0.0465116)
41 16 10 (0.0465116)
41 16 0 (0.0465116)
41 10 0 (0.0465116)
43 34 49 (0.0465116)
43 34 22 (0.0465116)
43 34 39 (0.0465116)
43 34 32 (0.0465116)
43 34 26 (0.0465116)
43 34 46 (0.0465116)
43 34 35 (0.0465116)
43 34 31 (0.0465116)
43 34 28 (0.0465116)
43 34 25 (0.0465116)
43 34 16 (0.0465116)
43 34 10 (0.0465116)
43 34 0 (0.0465116)
43 49 22 (0.0465116)
43 49 39 (0.0465116)
43 49 32 (0.0465116)
43 49 26 (0.0465116)
43 49 46 (0.0465116)
43 49 35 (0.0465116)
43 49 31 (0.0465116)
43 49 28 (0.0465116)
43 49 25 (0.0465116)
43 49 16 (0.0465116)
43 49 10 (0.0465116)
43 49 0 (0.0465116)
43 22 39 (0.0465116)
43 22 32 (0.0465116)
43 22 26 (0.0465116)
43 22 46 (0.0465116)
43 22 35 (0.0465116)
43 22 31 (0.0465116)
43 22 28 (0.0465116)
43 22 25 (0.0465116)
43 22 16 (0.0465116)
43 22 10 (0.0465116)
43 22 0 (0.0465116)
43 39 32 (0.0465116)
43 39 26 (0.0465116)
43 39 46 (0.0465116)
43 39 35 (0.0465116)
43 39 31 (0.0465116)
43 39 28 (0.0465116)
43 39 25 (0.0465116)
43 39 16 (0.0465116)
43 39 10 (0.0465116)
43 39 0 (0.0465116)
43 32 26 (0.0465116)
43 32 46 (0.0465116)
43 32 35 (0.0465116)
43 32 31 (0.0465116)
43 32 28 (0.0465116)
43 32 25 (0.0465116)
43 32 16 (0.0465116)
43 32 10 (0.0465116)
43 32 0 (0.0465116)
43 26 46 (0.0465116)
43 26 35 (0.0465116)
43 26 31 (0.0465116)
43 26 28 (0.0465116)
43 26 25 (0.0465116)
43 26 16 (0.0465116)
43 26 10 (0.0465116)
43 26 0 (0.0465116)
43 46 35 (0.0465116)
43 46 31 (0.0465116)
43 46 28 (0.0465116)
43 46 25 (0.0465116)
43 46 16 (0.0465116)
43 46 10 (0.0465116)
43 46 0 (0.0465116)
43 35 31 (0.0465116)
43 35 28 (0.0465116)
43 35 25 (0.0465116)
43 35 16 (0.0465116)
43 35 10 (0.0465116)
43 35 0 (0.0465116)
43 31 28 (0.0465116)
43 31 25 (0.0465116)
43 31 16 (0.0465116)
43 31 10 (0.0465116)
43 31 0 (0.0465116)
43 28 25 (0.0465116)
43 28 16 (0.0465116)
43 28 10 (0.0465116)
43 28 0 (0.0465116)
43 25 16 (0.0465116)
43 25 10 (0.0465116)
43 25 0 (0.0465116)
43 16 10 (0.0465116)
43 16 0 (0.0465116)
43 10 0 (0.0465116)
44 27 25 (0.0465116)
44 27 0 (0.0465116)
44 25 0 (0.0465116)
53 28 0 (0.0465116)
34 49 22 (0.0465116)
34 49 39 (0.0465116)
34 49 32 (0.0465116)
34 49 26 (0.0465116)
34 49 46 (0.0465116)
34 49 35 (0.0465116)
34 49 31 (0.0465116)
34 49 28 (0.0465116)
34 49 25 (0.0465116)
34 49 16 (0.0465116)
34 49 10 (0.0465116)
34 49 0 (0.0465116)
34 22 39 (0.0465116)
34 22 32 (0.0465116)
34 22 26 (0.0465116)
34 22 46 (0.0465116)
34 22 35 (0.0465116)
34 22 31 (0.0465116)
34 22 28 (0.0465116)
34 22 25 (0.0465116)
34 22 16 (0.0465116)
34 22 10 (0.0465116)
34 22 0 (0.0465116)
34 39 32 (0.0465116)
34 39 26 (0.0465116)
34 39 46 (0.0465116)
34 39 35 (0.0465116)
34 39 31 (0.0465116)
34 39 28 (0.0465116)
34 39 25 (0.0465116)
34 39 16 (0.0465116)
